 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês processamento
Caráter atendimento: Urgência
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"51 Mato Grosso";8720;12469;12900;13487;13006;14734;13974;13937;12928;14148;12160;12906;12712;12193;14179;13499;14094;14165;13313;13223;12532;13232;12805;12687;13331;12961;13700;13290;13515;12740;13383;12935;13183;13048;13005;12341;13269;12527;12981;14019;12815;12346;12233;11197;13349;12985;12807;12422;12116;12398;13248;13910;13833;14143;13511;13603;13361;13073;12842;13243;13346;13543;13662;13957;13582;14365;13388;13557;13096;13195;13904;13776;13123;12766;13546;13419;13678;13295;13437;12961;12948;12760;13028;12141;12144;12322;12906;13056;13858;13424;13112;12710;13303;13374;13057;12811;12909;12509;13472;13812;13489;13895;13307;13469;13740;13465;12809;11978;12755;12406;13029;13542;13739;12971;13132;13214;12653;13011;12472;12439;13044;12253;13507;13311;13509;13624;13230;12595;13144;12906;12459;12422;12324;11786;13695;13566;14404;13733;13675;14436;13878;14646;13574;13607;13342;13594;13187;11731;11945;11222;11346;10712;1990840
"52 Goiás";23292;31385;29412;30734;30463;25704;28013;28138;29265;27566;22963;25026;25074;26800;28645;28536;29512;28184;27420;27423;27730;28404;27550;27993;29119;29411;30268;29135;29241;28141;27619;28734;29275;28401;28082;26581;28220;27581;29416;28353;27315;26204;26326;26706;27325;26499;26409;25020;25620;26111;26822;26468;26367;26358;25117;24393;25205;24268;23694;22943;24677;25019;25924;27757;27149;25687;25214;25448;26189;24707;25072;23998;25675;23341;23889;25051;25811;24722;25058;24859;25244;25467;23401;24185;25018;23662;26070;26334;26574;25986;24910;24488;24238;24264;24125;23120;23791;23738;25283;25307;23905;24812;23236;24237;23502;22722;22074;22399;23010;22162;24503;24083;25678;24574;23287;22799;23629;24230;22983;22389;23499;22470;24290;23548;24949;23516;23693;23825;24160;23587;22695;23073;23750;22728;24153;24547;25625;25176;25565;25178;24818;25404;23853;23421;23798;22688;23444;20749;20721;19440;20076;20643;3857727
"53 Distrito Federal";6115;9635;12065;11704;12931;13904;13831;14260;12793;14012;10571;12477;11490;9103;12157;11835;14017;14092;12185;12209;12293;12493;11203;10425;13321;10691;13420;13134;13636;11882;12331;12617;11396;11479;11099;10756;11137;10990;12462;12923;13298;12535;12321;10881;11021;10990;9652;9675;12493;11868;11682;13295;12120;11772;12504;12906;11631;12024;11425;10149;12564;14149;14214;13817;14160;12132;13719;13715;12421;12191;11243;8193;11234;10814;11419;10001;13249;11421;13067;13376;12574;12798;10906;9647;11494;10685;12286;12579;12977;12463;12494;11351;10961;10186;10938;10025;10932;10773;13299;13390;14079;13511;12639;14686;13017;12981;13559;12814;14304;13448;16022;13006;13549;12397;11853;12920;13854;13809;13055;12697;12976;13565;14973;14938;15529;16660;17544;17461;15210;13553;12941;11730;15954;15494;18365;16381;17001;15888;16966;18348;14742;15248;14111;15342;17786;16927;19027;16860;14870;15140;15027;15160;1965090
"Total";510066;657738;720028;752272;770288;785716;788437;776235;774051;765119;687650;700171;695763;698519;779180;763873;789236;770736;780755;777043;776484;767281;756787;732599;763385;731667;790948;785825;794819;769540;776499;776833;765948;759638;762617;753766;759238;738567;782610;781136;770224;761805;780521;748186;756707;750526;745149;733691;741951;729964;783734;772651;792081;778665;776576;769104;743903;738551;718011;685005;737131;714941;755663;783104;785456;763802;780826;779120;756137;768459;734812;711216;758652;725957;743187;742419;787811;754904;783166;779744;773918;769940;742297;714185;748997;717859;776672;782322;792218;782160;789604;773748;760383;754730;739403;722048;737378;740816;780516;781961;784416;783222;774528;783646;756093;745156;723060;719504;738183;711347;791413;760342;812174;785981;786778;784850;772682;773204;755929;745175;769268;739157;790874;798520;810739;794035;803967;801743;773888;780695;754065;732188;794229;751980;798776;806618;838833;800823;820456;823845;804604;816037;773393;762548;799786;768594;772323;674441;689819;685340;721575;692067;115506639
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
